CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3502036,Clarence-Rockland,House,2700.0,3.0,2.5,1,1,1,2100.0,1 Year,27561,Ontario,"45.5629391,-75.2221743"
3502036,Clarence-Rockland,Townhouse,2250.0,3.0,2.5,0,0,0,1100.0,Month-to-month,27561,Ontario,"45.5460148,-75.2973037"
3502036,Clarence-Rockland,Townhouse,2400.0,3.0,1.5,0,0,0,1500.0,Month-to-month,27561,Ontario,"45.5558928,-75.2788742"
3502044,Casselman,Apartment,1300.0,2.0,1.0,0,0,0,725.0,1 Year,3920,Ontario,"45.3157884,-75.0897204"
3502044,Casselman,Apartment,2500.0,2.0,1.5,1,1,1,1000.0,Month-to-month,3920,Ontario,"45.3107048,-75.0893653"
3502044,Casselman,Apartment,1650.0,3.0,1.0,0,0,0,1300.0,1 Year,3920,Ontario,"45.3107048,-75.0893653"
3502044,Casselman,Apartment,1975.0,3.5,1.0,0,0,1,1270.0,1 Year,3920,Ontario,"45.3200344,-75.0827344"
3502044,Casselman,Apartment,2250.0,2.0,1.5,1,1,1,1000.0,Month-to-month,3920,Ontario,"45.3107048,-75.0893653"
3502044,Casselman,House,2850.0,4.0,2.5,0,0,0,2400.0,1 Year,3920,Ontario,"45.3107048,-75.0893653"
3502044,Casselman,House,2750.0,4.0,2.5,0,0,0,2000.0,1 Year,3920,Ontario,"45.3153603,-75.1025348"
3502044,Casselman,House,2950.0,3.0,2.5,0,0,0,1781.0,1 Year,3920,Ontario,"45.3107048,-75.0893653"
3502044,Casselman,Townhouse,2195.0,3.0,2.5,0,0,0,1800.0,1 Year,3920,Ontario,"45.3158134,-75.0986758"
3502048,Russell,Townhouse,3000.0,4.0,3.0,0,0,0,2300.0,1 Year,20962,Ontario,"45.26747902,-75.35624628"
3502048,Russell,Apartment,1850.0,2.0,2.0,0,0,0,1250.0,1 Year,20962,Ontario,"45.25884652,-75.36062272"
3502048,Russell,House,2700.0,3.0,3.0,0,0,0,2300.0,1 Year,20962,Ontario,"45.2838549,-75.2690504"
3502048,Russell,Basement,2000.0,3.0,1.5,0,0,1,1500.0,1 Year,20962,Ontario,"45.2763929,-75.2625069"
3502048,Russell,Condo,1800.0,2.0,1.0,0,0,1,900.0,1 Year,20962,Ontario,"45.2763187,-75.2689874"
3502048,Russell,Townhouse,2200.0,3.0,2.0,0,0,0,1400.0,1 Year,20962,Ontario,"45.275646,-75.275411"
3502048,Russell,Townhouse,2200.0,3.0,1.5,0,0,1,1668.0,1 Year,20962,Ontario,"45.275646,-75.275411"
